名词(中文)	名词(英文)	解释(中文)	解释(英文)
具细牙齿的	Denticulate	叶缘具很小的牙齿。	Dentate with very small teeth.
指状的，掌状复出的	Digitate	从一个点上浅裂，具脉或裂片，好象一只手的手指一样。等同掌状的（palmate）。	Lobed, veined, or divided from a common point, like the fingers of a hand.
多裂的	Dissected	深裂为多个狭的裂片。	Deeply divided into many narrow segments.
全裂的	Divided	分或裂至叶基或中脉。	Cut or lobed to，essentially to the base or to the midrib.
无齿的	Edentate	不具齿。	Without teeth.
全缘的	Entire	无齿、缺刻或裂片, 如某些叶的边缘。	Not toothed, notched, or divided, as the continuous margins of some leaves.
啮蚀状的	Erose	叶缘具参差不齐的齿，好象被啃过似的。	With the margin irregularly toothed, as if gnawed.
浅啮蚀状的	Erosulate	多少有些啮蚀状。	More or less erose.
①具缺刻的②锐裂的	Incised	通常参差不齐、急而深的裂。	Cut sharply, deeply, and usually irregularly.
内卷的	Inrolled	向内弯曲或卷曲；内卷。	Curled or rolled inward; involute.
内卷的	Involute	边缘向上内卷。（对比外卷的）。	With the margins rolled inward toward the upper side. (compare revolute)
撕裂状的	Lacerate	不规则的分裂或半裂，好象被撕开似的。	Cut or cleft irregularly, as if torn.
具刺的	Echinate	具皮刺或刺。	With prickles or spines.
具小刺的	Echinulate	具有很小的皮刺或刺。	With very small prickles or spines.
具小平面的	Faceted	具有多个平的表面，象切割的宝石，如某些种子。	With many plane surfaces, like a cut gem, as in some seeds.
被粉的	Farinose	被覆粉状物。	Covered with a mealy, powdery substance.
蜂窝状的	Faveolate	蜂窝状的或具凹痕；多小孔的。	Honeycombed or pitted; alveolate.
蜂窝状的	Favose	蜂窝状的或具凹痕；多小孔的。	Honeycombed or pitted; alveolate.
具窗孔的	Fenestrate	具窗形的穿孔、开口或透明的区域。	With window-like perforations, openings, or translucent areas.
流苏状的	Fimbriate	流苏状的，通常由毛或毛状物沿边缘形成。	Fringed, usually with hairs or hairlike structures (fimbrillae) along the margin.
茎基	Caudex (pl. Caudices. Caudexes)	多年生草本植物宿存的木质化的基部。	The persistent and often woody base of a herbaceous perennial.
幼茎	Caulicle	小的枝，未发育的枝条。	A small stem; a rudimentary stem.
茎	Caulis	草本植物的主茎。	The main stem of a herbaceus plant.
叶状枝	Cladode	具有叶的形状和功能的枝。	A stem with the form and function of a leaf.
叶状枝	Cladophyll	具有叶的形状和功能的枝。	A stem with the form and function of a leaf.
球茎	Corm	短小、实心、直立生长的地下茎，具薄纸质的叶。	A short, solid, vertical underground stem with thin papery leaves.
小球茎	Cormel	大球茎基部生出的小球茎。	A small corm arising at the base of a larger corm.
秆	Culm	中空或具髓的杆或茎，如禾草、莎草、灯心草。	A hollow or pithy stalk or stem, as in the grasses, sedges, and rushes.
生花茎	Floricane	第二年开花结果的枝杆。	The second-year flowering and fruiting cane (shoot) of Rubus. (compare primocane).
藤本植物	Liana	木质化的攀援藤本。	A woody, climbing vine.
单轴	Monopodium (pl. Monopodia)	所有侧枝由单个主轴产生。	A single main axis giving rise to lateral branches.
短匐茎	Offset	由近地面茎分枝的短的匍匐茎。	A short, often prostrate, shoot originating near the ground at the base of another shoot,
分株	Offshoot	从主茎上分出的枝。	A shoot or branch arising form a main stem.
叶状枝	Phylloclade	具有叶的形状和功能的枝。	A stem with the form and function of a leaf.
无花茎	Primocane	第一年生通常无花的枝杆。	The first-year, usually flowerless, cane(shoot) of Rubus. (compare floricane)
假花葶	Pseudoscape	假花葶，并非所有的叶都基生，仅仅是象基生。	A false scape, where not all of the leaves are truly basal in origin though, superficially, they appear to be so.
截根苗	Ratoon	从被砍伐植物的根部长出的苗。	A shoot arising from the root of a plant that has been cut down.
根状茎	Rhizome	横生的地下茎；根状茎。	A horizontal underground stem; rootstock.
纤匐茎	Runner	在节处和茎的先端生根的纤细匍匐茎。	A slender stolon or prostrate stem rooting at the nodes or at the tip.
长匐茎	Sarment	细长的纤匐茎。在节处和茎的先端生根的纤细匍匐茎。	A long, slender runner.
苗	Shoot	幼茎或幼枝。	A young stem or branch.
根出条	Sobol	发自茎基的长枝条；从茎的基部或根状茎上长出的枝条。	Elongated caudex branches; a shoot arising from the base of a stem or from the rhizome.
根出条	Sobole	发自茎基的长枝条；从茎的基部或根状茎上长出的枝条。	Elongated caudex branches; a shoot arising from the base of a stem or from the rhizome.
叶花（果）梢	Spray	具有叶花或果的纤细枝条。	A slender shoot or branch with its leaves, flowers, or fruits.
匍匐茎	Stolon	沿地面横生的长茎，在节处或端部生根，并产生新的植株。	An elongate, horizontal stem creeping along the ground and rooting at the nodes or the tip and giving rise to a new plant. See runner.
根株	Stool	每年生出新茎的植物基部。从单一根上长出的一簇茎。多年生草本植物宿存的木质化的基部。	The base of plants which produce new stems each year. A group of stems arising from a single root.
根出条	Sucker	从地下长出的枝条。	A shoot originating form below ground.
合轴	Sympodium	主轴看似单轴，但实际上由许多短的腋生枝相继发育而成，而不是由单一顶芽延续而成。	A main axis appearing to be simple, but actually consisting of a number of short axillary branches rather than a continuation of the main axis.
刺	Thorn	针状的木质变态茎，有时泛指其它类似的真刺的结构。	A stiff, woody, modified stem with a sharp point; sometimes applied to any structure resembling a true thorn.
分蘖	Tiller	多少直立的基生的或地下的枝条。从地下长出的枝条。	A basal or subterranean shoot which is more or less erect.
